#{"t_start": 1607029383.054191, "env_id": null}
r,l,t
-0.833333,8,29.200342
-0.809524,9,29.247075
-0.738095,12,29.309395
1.190476,9,29.351012
1.119048,6,29.380053
1.142857,7,29.415461
1.166667,8,29.454008
-9.690476,14,29.518731
1.142857,7,29.554514
-0.809524,9,29.602912
-0.738095,12,29.660533
1.285714,13,29.719654
1.261905,12,29.774512
1.261905,12,29.829053
-9.761905,11,29.877371
1.214286,10,29.921382
1.214286,10,29.966865
-0.809524,9,30.009274
1.119048,6,30.037172
-0.714286,13,30.096026
-0.857143,7,30.132695
1.119048,6,30.16267
1.214286,10,30.209201
-9.595238,18,30.289004
1.214286,10,30.335455
-0.761905,11,30.833048
-9.642857,16,30.909955
1.119048,6,30.93871
-0.880952,6,30.970415
1.142857,7,31.005542
-9.714286,13,31.070426
-0.904762,5,31.096348
-0.928571,4,31.119438
1.214286,10,31.165966
-0.857143,7,31.200176
-9.738095,12,31.254002
-0.738095,12,31.312903
1.166667,8,31.350868
-0.833333,8,31.38958
1.333333,15,31.457993
-9.809524,9,31.501197
-9.642857,16,31.57109
1.095238,5,31.595368
1.285714,13,31.656539
-9.738095,12,31.709486
-0.714286,13,31.769613
-9.809524,9,31.812163
1.119048,6,31.842024
1.119048,6,31.870441
-0.785714,10,31.916555
1.119048,6,31.946616
1.142857,7,31.980755
-0.785714,10,32.027051
1.238095,11,32.266525
1.238095,11,32.31918
-0.880952,6,32.352636
-0.833333,8,32.394922
-0.714286,13,32.460649
1.166667,8,32.500607
-0.809524,9,32.543558
1.190476,9,32.586337
1.214286,10,32.631581
1.238095,11,32.6847
1.190476,9,32.727378
1.309524,14,32.792048
1.166667,8,32.830237
1.261905,12,32.884816
-0.809524,9,32.930681
1.309524,14,32.992936
1.214286,10,33.040211
-0.785714,10,33.088705
-9.666667,15,33.157702
1.357143,16,33.229759
-9.809524,9,33.271218
1.166667,8,33.309575
-0.666667,15,33.381349
1.309524,14,33.646255
-0.833333,8,33.687315
1.190476,9,33.733623
-0.714286,13,33.802577
-0.809524,9,33.850214
-9.809524,9,33.893381
-9.690476,14,33.95772
-9.690476,14,34.026054
-0.880952,6,34.058897
-9.642857,16,34.1354
1.214286,10,34.184045
1.142857,7,34.218151
1.285714,13,34.280041
1.214286,10,34.329021
1.309524,14,34.397859
1.142857,7,34.432168
-9.666667,15,34.501659
-0.833333,8,34.543089
1.190476,9,34.585758
-9.666667,15,34.652038
-0.785714,10,34.700258
1.261905,12,34.758174
1.142857,7,34.792672
1.238095,11,34.845032
-0.761905,11,35.079759
1.214286,10,35.132935
-0.690476,14,35.206504
