,<function <listcomp>.<lambda> at 0x7fe25dc391e0>,<function <listcomp>.<lambda> at 0x7fe25dc39378>,<function <listcomp>.<lambda> at 0x7fe25dc39ea0>,<function <listcomp>.<lambda> at 0x7fe25dc39730>,<function <listcomp>.<lambda> at 0x7fe25dc39268>,<function <listcomp>.<lambda> at 0x7fe25dc390d0>,<function <listcomp>.<lambda> at 0x7fe25dc39b70>,<function <listcomp>.<lambda> at 0x7fe25dc39620>,<function <listcomp>.<lambda> at 0x7fe25dbb3598>,<function <listcomp>.<lambda> at 0x7fe25dbb3840>,<function <listcomp>.<lambda> at 0x7fe25dbb37b8>,<function <listcomp>.<lambda> at 0x7fe25dbb38c8>,<function <listcomp>.<lambda> at 0x7fe25dbb3510>,<function <listcomp>.<lambda> at 0x7fe25dbb3378>,<function <listcomp>.<lambda> at 0x7fe25dbb3400>,<function <listcomp>.<lambda> at 0x7fe25dbb3488>
<function <listcomp>.<lambda> at 0x7fe25dc391e0>,0.0,0.373,0.433,0.453,0.453,0.453,0.453,0.393,0.38,0.433,0.407,0.433,0.46,0.48,0.467,0.427
<function <listcomp>.<lambda> at 0x7fe25dc39378>,0.467,0.0,0.427,0.507,0.42,0.44,0.507,0.447,0.38,0.407,0.493,0.407,0.453,0.5,0.433,0.433
<function <listcomp>.<lambda> at 0x7fe25dc39ea0>,0.427,0.467,0.0,0.4,0.42,0.407,0.427,0.4,0.427,0.433,0.427,0.38,0.4,0.46,0.413,0.473
<function <listcomp>.<lambda> at 0x7fe25dc39730>,0.44,0.367,0.44,0.0,0.427,0.347,0.433,0.48,0.4,0.407,0.447,0.413,0.393,0.427,0.447,0.4
<function <listcomp>.<lambda> at 0x7fe25dc39268>,0.42,0.473,0.447,0.453,0.0,0.48,0.42,0.493,0.44,0.44,0.413,0.46,0.427,0.467,0.42,0.387
<function <listcomp>.<lambda> at 0x7fe25dc390d0>,0.42,0.487,0.54,0.46,0.42,0.0,0.5,0.387,0.46,0.427,0.407,0.467,0.447,0.493,0.407,0.36
<function <listcomp>.<lambda> at 0x7fe25dc39b70>,0.427,0.393,0.42,0.433,0.48,0.38,0.0,0.453,0.527,0.427,0.4,0.407,0.46,0.493,0.467,0.407
<function <listcomp>.<lambda> at 0x7fe25dc39620>,0.467,0.433,0.44,0.387,0.433,0.487,0.44,0.0,0.44,0.427,0.393,0.44,0.4,0.44,0.44,0.46
<function <listcomp>.<lambda> at 0x7fe25dbb3598>,0.48,0.493,0.387,0.467,0.427,0.413,0.387,0.4,0.0,0.44,0.433,0.433,0.44,0.46,0.42,0.467
<function <listcomp>.<lambda> at 0x7fe25dbb3840>,0.407,0.447,0.44,0.453,0.433,0.467,0.433,0.42,0.44,0.0,0.473,0.44,0.4,0.467,0.473,0.493
<function <listcomp>.<lambda> at 0x7fe25dbb37b8>,0.473,0.387,0.44,0.407,0.447,0.4,0.48,0.433,0.473,0.427,0.0,0.427,0.387,0.34,0.453,0.42
<function <listcomp>.<lambda> at 0x7fe25dbb38c8>,0.42,0.447,0.473,0.473,0.42,0.367,0.453,0.42,0.46,0.453,0.467,0.0,0.393,0.433,0.387,0.513
<function <listcomp>.<lambda> at 0x7fe25dbb3510>,0.4,0.373,0.427,0.447,0.467,0.46,0.453,0.46,0.467,0.433,0.507,0.467,0.0,0.393,0.36,0.427
<function <listcomp>.<lambda> at 0x7fe25dbb3378>,0.4,0.433,0.4,0.44,0.407,0.36,0.42,0.44,0.447,0.427,0.493,0.427,0.507,0.0,0.46,0.467
<function <listcomp>.<lambda> at 0x7fe25dbb3400>,0.413,0.473,0.467,0.4,0.433,0.48,0.453,0.413,0.453,0.373,0.46,0.507,0.487,0.42,0.0,0.473
<function <listcomp>.<lambda> at 0x7fe25dbb3488>,0.42,0.387,0.413,0.473,0.453,0.493,0.433,0.4,0.473,0.413,0.427,0.373,0.467,0.38,0.373,0.0
